メニュー名,メニュー番号,分量,カロリー,調理時間,画像URL,材料,作り方,URL
コーンスープリゾット,0358,材料：4人分,約315kcal,20分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R4358.jpg,"米: 1合(150g)
玉ねぎ(みじん切り): 1/2個(100g)
冷凍枝豆(さやから取り出しておく): 20さや
ベーコン(1cm幅に切る): 4枚
牛乳: 200mL
水: 300mL
こしょう: 少々
コーンスープの素(市販のカップスープの素、粉末タイプ): 2袋","1 まぜ技ユニットを本体にセットする。
2 米は洗って水をきり、内鍋に入れる。
3 2にコーンスープの素以外の材料を入れ、本体にセットする。
メニューを選ぶ → メニュー番号で探す → No.0358(コーンスープリゾット) → 調理を開始する → スタート
4 加熱後、コーンスープの素を入れ、混ぜる。
※好みで粉チーズやパセリをふります。",https://cocoroplus.jp.sharp/kitchen/recipe/hotcook/KN-HW24H/R4358
コーンブレッド,0743,,約747kcal,45分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R4743.jpg,"はごろもフーズ　シャキッと！コーン: 1缶(190g)
ホットケーキミックス: 150g
卵: M1個
粉チーズ: 大さじ1","1 内鍋の内側にバター(分量外)をぬる。
2 ボウルに卵を入れて溶きほぐす。
3 2にホットケーキミックス、シャキッと！コーン(汁ごと)、粉チーズを加えて、さらに混ぜる。
4 内鍋に3を入れ、本体にセットする。
メニューを選ぶ → メニュー番号で探す → No.0743(コーンブレッド) → 調理を開始する → スタート
5 加熱後、内鍋から取り出し、底を上にして網にのせて冷ます。

★このレシピは「うちれぴ」とのコラボレーションによる、はごろもフーズ株式会社ご提供レシピです。
はごろもフーズからのおすすめポイント
コーンの缶詰の汁を使うことで、コーンの甘み、風味を感じられます。

「シャキッと！コーン」について、詳しくは画像をタップしてください。




は、はごろもフーズ株式会社の登録商標です。

「うちれぴ」連携について、詳しくは画像をタップしてください。",https://cocoroplus.jp.sharp/kitchen/recipe/hotcook/KN-HW24H/R4743
バルサミコ酢豚～5種のカラフル野菜～(ヘルシオデリ),,材料：2人分,約316kcal,25分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R101000000006.jpg,"揚げ豚: 1パック
野菜（玉ねぎ、赤パプリカ、黄パプリカ、ズッキーニ、なす): 1パック
たれ: 1パック","※このメニューは料理キット宅配サービス「ヘルシオデリ」のメニューです。
※揚げ豚は冷凍のまま調理してください。
※野菜は加熱中常温に置いておきます。
1 まぜ技ユニットを本体にセットする。
2 内鍋に揚げ豚とたれを入れて軽くまぜ、本体にセットする。
手動で作る → 煮物を作る(まぜる） → 約1分 → 調理を開始する → スタート
※ホットクックを機器登録している場合は、メニューをダウンロードできます。
3 加熱後、やけどに気をつけながらふたを開け、野菜を入れて、延長で3分加熱する。",https://cocoroplus.jp.sharp/kitchen/recipe/hotcook/KN-HW24H/R101000000006
ごはん,0139,,約252kcal(150ｇ),50分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R4139.jpg,米: 1～5合(1合150g),"1 内鍋に洗った米を入れて平らにならし、水平なところで米の量に合わせて水位線まで水を加える。
2 1を本体にセットする。
メニューを選ぶ → メニュー番号で探す → No.0139(ごはん) → 分量を選択 → 調理を開始する → スタート
3 加熱後、ごはん全体をよくほぐす。
※分量によっては、調理中蒸気口からおねばが出ることがあります。
※保温キーは使わないでください。(ホットクックの保温温度は炊飯器の保温温度より設定が高いため)
※予約調理のときも、自動で保温には切り換わりません。",https://cocoroplus.jp.sharp/kitchen/recipe/hotcook/KN-HW24H/R4139
ごはん(しゃっきり),0523,,約252kcal(150ｇ),50分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R4523.jpg,米: 1～5合(1合150g),"1 内鍋に洗った米を入れて平らにならし、水平なところで米の量に合わせて水位線まで水を加える。
2 1を本体にセットする。
メニューを選ぶ → メニュー番号で探す → No.0523(ごはん(しゃっきり)) → 分量を選択 → 調理を開始する → スタート
3 加熱後、ごはん全体をよくほぐす。
※分量によっては、調理中蒸気口からおねばが出ることがあります。
※保温キーは使わないでください。(ホットクックの保温温度は炊飯器の保温温度より設定が高いため、上手に保温できません。)",https://cocoroplus.jp.sharp/kitchen/recipe/hotcook/KN-HW24H/R4523
ごはん(２合)＆おかず,0290,,約1360kcal(全量),50分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R4290.jpg,"かぼちゃ: 300ｇ
酒: 大さじ3
みりん: 小さじ4
砂糖: 小さじ2
しょうゆ: 小さじ2/3
塩: 少々
米: 2合(300ｇ)","1 米を洗い、ザルに上げて水気をしっかりきる。かぼちゃは3～4cm角に切り、ところどころ皮をけずり取る。
2 内鍋に水気をきった米を入れて水を水位線「2」まで加え、本体にセットする。
3 アルミホイルを2枚重ね、蒸しトレイの穴が少し見えるくらいのサイズにフチを立てて敷き、かぼちゃの皮を下にして重ならないように並べ、混ぜ合わせた[A]を全体にまわしかける。

※アルミホイルの代わりに、クッキングシートで代用できます。(2枚重ね不要)
※アルミホイルやクッキングシートは、蒸しトレイからはみ出さないように敷いてください。また、蒸しトレイの穴をすべてふさぐように敷くと、かぼちゃの仕上がりが固めになることがあります。
4 まぜ技ユニットがセットされていないことを確認し、3を2にセットする。
メニューを選ぶ → メニュー番号で探す → No.0290(ごはん(２合)＆おかず) → 調理を開始する → スタート
※このメニューで炊飯できるのは、2合のみです。",https://cocoroplus.jp.sharp/kitchen/recipe/hotcook/KN-HW24H/R4290
ごはん(早炊き),0521,,約252kcal(150ｇ),30分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R4521.jpg,米: 1～5合(1合150g),"1 内鍋に洗った米を入れて平らにならし、水平なところで米の量に合わせて水位線まで水を加える。
2 1を本体にセットする。
メニューを選ぶ → メニュー番号で探す → No.0521(ごはん(早炊き)) → 分量を選択 → 調理を開始する → スタート
3 加熱後、ごはん全体をよくほぐす。
※分量によっては、調理中蒸気口からおねばが出ることがあります。
※保温キーは使わないでください。(ホットクックの保温温度は炊飯器の保温温度より設定が高いため、上手に保温できません。)",https://cocoroplus.jp.sharp/kitchen/recipe/hotcook/KN-HW24H/R4521
ごはん(ふっくら),0522,,約252kcal(150ｇ),1時間,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R4522.jpg,米: 1～5合(1合150g),"1 内鍋に洗った米を入れて平らにならし、水平なところで米の量に合わせて水位線まで水を加える。
2 1を本体にセットする。
メニューを選ぶ → メニュー番号で探す → No.0522(ごはん(ふっくら)) → 分量を選択 → 調理を開始する → スタート
3 加熱後、ごはん全体をよくほぐす。
※分量によっては、調理中蒸気口からおねばが出ることがあります。
※保温キーは使わないでください。(ホットクックの保温温度は炊飯器の保温温度より設定が高いため、上手に保温できません。)",https://cocoroplus.jp.sharp/kitchen/recipe/hotcook/KN-HW24H/R4522
ごはん(無洗米),0520,,約252kcal(150ｇ),50分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R4520.jpg,米: 1～5合(1合150g),"1 内鍋に米を入れて平らにならし、水平なところで米の量に合わせて水位線まで水を加える。
※しっかり水を吸収させるために、底から軽くかき混ぜ、米を水になじませてから、水加減をしてください。
※無洗米は洗米が不要ですが、米からでんぷん質が溶け出して白くにごり、沈殿してかために炊き上がったり、おこげができやすくなります。気になる場合は、1～2回水をかえてすすいでください。
2 1を本体にセットする。
メニューを選ぶ → メニュー番号で探す → No.0520(ごはん(無洗米)) → 分量を選択 → 調理を開始する → スタート
3 加熱後、ごはん全体をよくほぐす。
※分量によっては、調理中蒸気口からおねばが出ることがあります。
※保温キーは使わないでください。(ホットクックの保温温度は炊飯器の保温温度より設定が高いため、上手に保温できません。)
※予約調理のときも、自動で保温には切り換わりません。",https://cocoroplus.jp.sharp/kitchen/recipe/hotcook/KN-HW24H/R4520
ご飯に盛って1品完成！ふんわり衣のヒレカツ煮(ヘルシオデリ),,材料：3人分,約217kcal,45分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R101000000021.jpg,"ヒレカツ: 6 枚
玉ねぎ: 1 パック
煮物つゆ: 1 パック
枝豆: 1 パック
卵（M サイズ）: 3個
水: 150mL
ごはん: 3人分","※このメニューは料理キット宅配サービス「ヘルシオデリ」のメニューです。
※まぜ技ユニットは不要です。
※枝豆は加熱中常温に置いておきます。
1 内鍋に玉ねぎ、煮物つゆ、水150mLを順に入れてかき混ぜ、ヒレカツを入れて本体にセットする。
手動で作る → 煮物を作る(まぜない） → 10分 → 調理を開始する → スタート
※ホットクックを機器登録している場合は、メニューをダウンロードできます。
2 加熱後、やけどに気をつけながらふたを開け、枝豆を入れる。ボウルに卵3個を割り入れ、白身の塊が少し残る程度までといてから卵を回し入れて、ふたを閉める。
3 卵がお好みの固さになるまで保温する。（目安8-10分）
4 器にごはんを盛って3をのせる。",https://cocoroplus.jp.sharp/kitchen/recipe/hotcook/KN-HW24H/R101000000021
ごぼうサラダ,0416,材料：4人分,約117kcal,25分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R4416.jpg,"ごぼう(3～4cm長さのマッチ棒状に切る): 100ｇ
さつまいも(1cm厚さのいちょう切り): 1/2本(125ｇ)
にんじん(乱切り): 1/2本(100ｇ)
マヨネーズ: 大さじ2
粉チーズ: 大さじ2
塩、こしょう: 各適量","1 まぜ技ユニットを本体にセットする。
2 内鍋にごぼう、さつまいも、にんじんを入れ、水大さじ3を入れて、本体にセットする。
メニューを選ぶ → メニュー番号で探す → No.0416(ごぼうサラダ) → 調理を開始する → スタート
3 加熱後、あら熱を取ってから、マヨネーズ、粉チーズ、塩、こしょうであえる。",https://cocoroplus.jp.sharp/kitchen/recipe/hotcook/KN-HW24H/R4416
ごま豆腐(もっとクック専用),,,約565kcal(全量),15分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R100000000025.jpg,"昆布だし: 350mL
くず粉: 50g
練りごま: 50g
塩: 1g","1 もっとクック(別売まぜ技ユニット)を本体にセットする。
2 内鍋に全材料を入れ、本体にセットする。
メニューを選ぶ → カテゴリーで探す → オプションメニュー → 別売アクセサリー → 別売アクセサリーメニュー → ごま豆腐(もっとクック専用) → 調理を開始する → スタート
3 加熱後、すぐにラップを敷いたバットに入れ室温で粗熱をとり、お好みの大きさに切り分ける。
※冷蔵室に長時間入れると、固くなります。冷蔵室で冷やす場合は、1時間程度を目安に冷やすようにしてください。

もっとクックの紹介やご購入について、詳しくは画像をタップしてください。",https://cocoroplus.jp.sharp/kitchen/recipe/hotcook/KN-HW24H/R100000000025
